Site,Metric,Set,Model,source,Variable,Importance,Stderr,nsim,type
Butte,max,A,RFR,orig,WL_max_2day,0.043621084243053554,NA,20,cpi
Butte,max,A,RFR,orig,GWT_range,0.015255188650783347,NA,20,cpi
Butte,max,A,XGB,orig,Solar_2d,1.09665433976499,NA,20,cpi
Butte,max,A,XGB,orig,Air_tmin,0.9671580549403545,NA,20,cpi
Butte,max,A,XGB,orig,Air_trange,0.14302191426373184,NA,20,cpi
Butte,max,A,XGB,orig,WL_daily_range,0.12258120791026764,NA,20,cpi
Butte,max,A,XGB,orig,GWT_min_7day,0.11836064290258483,NA,20,cpi
Butte,max,A,XGB,orig,ppt_7day,0.07683580335043061,NA,20,cpi
Butte,max,A,XGB,orig,WL_min_2day,0.05142774136779657,NA,20,cpi
Butte,max,A,XGB,orig,WL_max_2day,0.04094947635796964,NA,20,cpi
Butte,max,A,XGB,orig,GWT_range,0.005932049142351542,NA,20,cpi
Butte,max,B,GLS,gls,Solar_2d,0.9645804369912141,NA,20,cpi
Butte,max,B,GLS,gls,Air_tmin,0.7627389352788636,NA,20,cpi
Butte,max,B,GLS,gls,ppt_7day,0.01598503782015559,NA,20,cpi
Butte,max,B,GLS,gls,Air_trange,0.0022145928563269135,NA,20,cpi
Butte,max,B,RFR,pass2,Solar_2d,1.3200417735159378,NA,20,cpi
Butte,max,B,RFR,pass2,Air_tmin,1.1274391481328108,NA,20,cpi
Butte,max,B,RFR,pass2,Air_trange,0.23785414388420362,NA,20,cpi
Butte,max,B,RFR,pass2,ppt_7day,0.19989819881134702,NA,20,cpi
Butte,max,B,XGB,pass2,Solar_2d,1.3022769990333178,NA,20,cpi
Butte,max,B,XGB,pass2,Air_tmin,1.1251408106549055,NA,20,cpi
Butte,max,B,XGB,pass2,Air_trange,0.1899029125787795,NA,20,cpi
Butte,max,B,XGB,pass2,ppt_7day,0.12847441150309433,NA,20,cpi
Butte,mean,A,GLS,gls,Air_tmin,0.6668257267712353,NA,20,cpi
Butte,mean,A,GLS,gls,Solar_3d,0.3478303290319086,NA,20,cpi
Butte,mean,A,GLS,gls,WL_max_2day,0.15048883896879484,NA,20,cpi
Butte,mean,A,GLS,gls,Air_trange,0.09861277561840992,NA,20,cpi
Butte,mean,A,GLS,gls,GWT_max,0.091672350378458,NA,20,cpi
Butte,mean,A,GLS,gls,WL_min_3day,0.08897101875907465,NA,20,cpi
Butte,mean,A,GLS,gls,GWT_range,-3.255304101040801e-5,NA,20,cpi
Butte,mean,A,GLS,gls,GWL_range,-0.002367101283894446,NA,20,cpi
Butte,mean,A,GLS,gls,ppt_7day,-0.016235717268688887,NA,20,cpi
Butte,mean,A,RFR,orig,Air_tmin,0.8230591882497448,NA,20,cpi
Butte,mean,A,RFR,orig,Air_tmax_2day,0.46808382554654915,NA,20,cpi
